survey_id,user_id,result_first,result_last,amount_of_change,day
2021121215,256954407,4,4,1,6
2021121215,151556501,4,4,1,6
2021121215,604761908,4,4,1,6
2021121215,512493784,4,4,1,6
2021121215,539820895,4,4,1,6
2021121215,263823828,1,1,1,6
2021121215,217337826,1,1,1,6
2021121215,562310190,4,4,1,6
2021121215,449356261,4,4,1,6
2021121215,49565429,1,1,1,6
2021121215,172798898,1,1,1,6
2021121215,283398185,4,4,1,6
2021121215,215887370,1,1,1,6
2021121215,564778427,1,1,1,6
2021121318,116609969,4,4,1,0
2021121318,381148645,4,4,1,0
2021121318,65667553,4,4,1,0
2021121318,286061519,4,4,1,0
2021121318,282825540,4,4,1,0
2021121318,539820895,4,4,1,0
2021121318,194487428,1,1,1,0
2021121318,505148144,4,4,1,0
2021121318,512493784,4,4,1,0
2021121318,604761908,1,4,2,0
2021121318,133014953,1,1,1,0
2021121318,263823828,1,1,1,0
2021121318,215887370,1,1,1,0
2021121318,576598607,4,4,1,0
2021121318,49565429,4,4,1,0
2021121318,190630566,4,4,1,0
2021121418,148559421,4,4,1,1
2021121418,116609969,4,4,1,1
2021121418,151556501,4,4,1,1
2021121418,604761908,4,4,1,1
2021121418,365945485,4,4,1,1
2021121418,286061519,1,1,1,1
2021121418,60826450,4,4,1,1
2021121418,215887370,1,1,1,1
2021121418,190630566,4,4,1,1
2021121518,286061519,4,4,1,2
2021121518,236319976,4,4,1,2
2021121518,133014953,1,1,1,2
2021121518,215887370,1,1,1,2
2021121518,148559421,1,1,1,2
2021121518,49565429,4,4,1,2
2021121518,455174296,1,1,1,2
2021121518,604761908,4,4,1,2
2021121518,365945485,4,4,1,2
2021121518,185125241,4,4,1,2
2021121618,221065450,4,4,1,3
2021121618,177558364,1,1,1,3
2021121618,215887370,1,1,1,3
2021121618,564778427,1,1,1,3
2021121618,157956035,4,4,1,3
2021121618,286061519,1,1,1,3
2021121618,263823828,1,1,1,3
2021121618,148559421,4,4,1,3
2021121618,539820895,4,4,1,3
2021121909,136539852,4,4,1,6
2021121909,242362277,4,4,1,6
2021122018,170575678,1,1,1,0
2021122018,215887370,1,1,1,0
2021122018,157956035,4,4,1,0
2021122018,562310190,4,4,1,0
2021122018,488680127,1,1,1,0
2021122018,256954407,4,4,1,0
2021122018,539820895,4,4,1,0
2021122118,177558364,3,3,1,1
2021122118,146453562,4,4,1,1
2021122118,242362277,4,4,1,1
2021122118,283398185,4,4,1,1
2021122218,157956035,4,4,1,2
2021122218,60826450,1,1,1,2
2021122218,539820895,4,4,1,2
2021122218,505365378,4,4,1,2
2021122318,65667553,4,4,1,3
2021122318,505365378,4,4,1,3
2021122609,16807958,4,4,1,6
2021122609,148559421,1,1,1,6
